2022-23 Social Accounting Matrix for India,Code,amaiz,arice,aocer,apuls,aoils,aroot,avege,asugr,atoba,acott,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,cpuls,coils,croot,cvege,csugr,ctoba,ccott,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,atax,dtax,mtax,stax,s-i,dstk,row,total
Activities - Maize,amaiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.5008121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.1843842,242.0070823,170.7747633,94.21536941,39.20671197,,,0.115980498,0.268966423,5.288820773,,,,,,,,,882.562891
Activities - Rice,arice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190.649875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.2628468,477.6504935,506.9441078,449.1618338,266.8664624,3.784291816,8.259889418,10.39284711,19.62151367,37.53538433,,,,,,,,,4438.129545
Activities - Other cereals,aocer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.16541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.4825061,474.550396,492.0815741,435.0357504,271.4888646,3.805414676,10.71415888,15.06945853,20.72961564,35.68892191,,,,,,,,,3272.812071
Activities - Pulses,apuls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525.194148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.749450631,8.114278574,7.843251581,6.953681893,4.219185065,0.023307088,0.132535103,0.195291778,0.317135303,0.540163602,,,,,,,,,1561.282429
Activities - Oilseeds,aoils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2667.442663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.240919922,2.68858135,3.828875546,4.956545016,4.161439574,0.019630984,0.064230298,0.028576476,0.15338627,0.786348858,,,,,,,,,2686.371197
Activities - Roots,aroot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054.842955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.522670544,5.702463398,6.773466009,5.760530768,5.459868727,0.048616668,0.094958355,0.285575967,0.378628648,1.100362646,,,,,,,,,1085.970097
Activities - Vegetables,avege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3487.117739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.08350974,26.91831821,29.16188909,27.84890855,20.20863741,0.257260982,0.594266674,0.97850167,1.472798616,2.521191161,,,,,,,,,3619.163022
Activities - Sugarcane,asugr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708.943201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67971E-07,5.70059E-07,6.30993E-07,6.04706E-07,4.30651E-07,4.52208E-09,1.19115E-08,1.86359E-08,2.92147E-08,-4.31578E-08,,,,,,,,,1708.943204
Activities - Tobacco,atoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.7681137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043039169,0.070593158,0.141255733,0.125387857,0.095405903,0.002034732,,0.000878585,0.001394137,0.003996586,,,,,,,,,124.2520996
Activities - Cotton and fibres,acott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563.273584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563.273584
